pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-395 SB PM,GP,110N04126,0.6270716666666666,23,1.3174094202898552,2.0789166666666663,2.1359061733422595,3.3705322535347277,1.5780338554200295,0.5780338554200295
I-395 SB PM,GP,110N04127,1.0633333333333335,23,3.364347826086957,5.3650625,3.0057652991685977,4.7932376567398105,1.594681280692685,0.5946812806926851
I-395 SB PM,GP,110N04128,0.20622333333333337,23,0.26575181159420286,0.276125,1.1168388804127036,1.1604328640470685,1.0390333685538022,0.03903336855380224
I-395 SB PM,GP,110N04129,0.22748833333333335,23,0.31708333333333344,0.33083333333333337,1.1383062379267315,1.1876677436449732,1.043363994743758,0.04336399474375807
I-395 SB PM,ML,110N04298,1.04006,23,0.9890307971014494,1.0019583333333335,0.9826341656617545,0.9954780920758848,1.0130709137367317,0.013070913736731749
I-395 SB PM,ML,110N04299,0.36816666666666664,23,0.36384963768115947,0.37056249999999996,0.9882742535477397,1.006507469443187,1.0184495506485098,0.018449550648509838
I-395 SB PM,ML,110N04300,0.14939999999999998,23,0.1459148550724638,0.14854166666666666,0.9278387705411019,0.9445420571173584,1.0180023589297906,0.01800235892979063
I-395 SB PM,ML,110N04301,0.23,23,0.2387047101449275,0.24433333333333335,0.9859542375551353,1.0092028985507246,1.023579858080674,0.023579858080674088
I-395 SB PM,ML,110N04651,0.6365,23,0.5549637681159421,0.5628958333333334,0.9881522972475533,1.0022759011957756,1.0142929424822094,0.014292942482209359
I-395 SB PM,ML,110N04652,0.5286666666666667,23,0.44974637681159424,0.4560208333333333,0.978325977301387,0.9919747005044134,1.0139510996535888,0.013951099653588761
I-395 SB PM,ML,110N04653,0.713,23,0.6180072463768116,0.6279791666666666,0.9967858812529219,1.012869623655914,1.0161356041507885,0.01613560415078852
I-395 SB PM,ML,110N04654,0.6006666666666667,23,0.5184239130434782,0.5252708333333335,0.9925430077691454,1.0056517064372923,1.013207184540658,0.013207184540658057
I-395 SB PM,ML,110N04655,0.6666000000000001,23,0.5855072463768117,0.5951875,0.9808227199531548,0.9970387663766376,1.0165331064356433,0.01653310643564332
I-395 SB PM,ML,110N04656,0.5695,23,0.49700181159420287,0.5051875,0.9745133560670645,0.9905637254901961,1.0164701379649712,0.01647013796497121
I-395 SB PM,ML,110N04657,0.5695,23,0.5009782608695652,0.5081875,0.9823103154305199,0.9964460784313726,1.014390323280538,0.01439032328053802
I-395 SB PM,GP,110N04670,0.31782,23,0.3622282608695652,0.37960416666666663,1.0637458628938632,1.1147732119508598,1.0479694923730931,0.047969492373093114
I-395 SB PM,ML,110N16046,0.6050000000000001,23,0.5089402173913044,0.5147499999999999,0.9814274164570606,0.99263085399449,1.0114154519728762,0.01141545197287619
I-395 NB AM,GP,110+04121,0.27336416666666663,23,0.643888888888889,0.9160833333333334,2.2769111749927946,3.239441485767358,1.4227351164797237,0.4227351164797237
I-395 NB AM,GP,110+04122,1.1513250000000002,23,1.6509647627166806,2.965691176470587,1.433969350719111,2.5758940146966207,1.79633826441608,0.7963382644160799
I-395 NB AM,GP,110+04123,0.9237,23,1.8917874396135261,2.6558055555555558,2.1163224217104872,2.9710213352900374,1.4038604443309504,0.40386044433095036
I-395 NB AM,GP,110+04124,0.3436683333333333,23,0.6015217391304347,0.8025833333333333,1.8086404928243294,2.4131874562522326,1.334254909047103,0.334254909047103
I-395 NB AM,GP,110+04125,0.05296,23,0.061594202898550734,0.08191666666666665,1.2018002831414105,1.598323682443773,1.3299411764705877,0.32994117647058774
I-395 NB AM,GP,110+04126,0.07254333333333335,23,0.09666666666666666,0.1434722222222222,1.2881189786947262,1.9118202657926033,1.4841954022988504,0.4841954022988504
I-395 NB AM,GP,110+04127,0.7786666666666666,23,0.9619082125603865,1.1935555555555555,1.235327327774469,1.5328196347031964,1.2408206312934735,0.24082063129347353
I-395 NB AM,GP,110+04129,0.135135,23,0.38936745169082126,0.6546562499999998,2.3530796527978493,3.956309893809893,1.6813327543356966,0.6813327543356966
I-395 NB AM,GP,110+04130,0.08349999999999999,23,0.33015096618357487,0.4711249999999999,2.9654278399722296,4.231661676646706,1.426998701369963,0.426998701369963
I-395 NB AM,ML,110+04298,0.544,23,0.4727536231884057,0.48811111111111116,0.9849033816425119,1.0168981481481483,1.0324851829143677,0.03248518291436775
I-395 NB AM,ML,110+04299,0.11999999999999998,23,0.12421497584541064,0.1373611111111111,1.0351247987117556,1.144675925925926,1.105833738454059,0.10583373845405908
I-395 NB AM,ML,110+04300,0.060666666666666674,23,0.06842995169082125,0.08227777777777776,1.0715679248287944,1.2884157509157506,1.2023649841157782,0.2023649841157782
I-395 NB AM,ML,110+04301,0.05525,23,0.08072463768115944,0.1268611111111111,1.2906201499551888,2.028247025305849,1.5715290245362052,0.5715290245362052
I-395 NB AM,ML,110+04651,0.19563333333333333,23,0.18051932367149762,0.19125,0.999638442549612,1.059060316919407,1.0594433665618517,0.059443366561851674
I-395 NB AM,ML,110+04652,0.48654500000000006,23,0.41565217391304343,0.4333888888888889,0.9966756132153941,1.0392057679564486,1.0426720130172014,0.04267201301720136
I-395 NB AM,ML,110+04653,0.07,23,0.06006038647342997,0.06049999999999999,1.015306533241316,1.022738095238095,1.0073195254373613,0.007319525437361252
I-395 NB AM,ML,110+04654,0.9583333333333334,23,0.8190579710144928,0.8352777777777777,1.0113585381222434,1.0313864734299516,1.0198030021528206,0.019803002152820603
I-395 NB AM,ML,110+04656,0.116,23,0.09929951690821258,0.09988888888888889,1.0129692098395249,1.0189814814814815,1.0059352955485281,0.005935295548528119
I-395 NB AM,ML,110+04657,0.071,23,0.06141304347826086,0.06452777777777777,1.009134517248418,1.0603155972874283,1.0507177974434612,0.050717797443461166
I-395 NB AM,GP,110+04670,0.0825,23,0.12978260869565217,0.24072222222222217,1.4944664031620551,2.7719528619528613,1.8548110924995345,0.8548110924995345
I-395 NB AM,ML,110+16046,0.3655,23,0.3104227053140096,0.31708333333333333,0.990861348471531,1.012121903024776,1.0214566393028053,0.02145663930280528
I-395 NB AM,GP,110P04120,1.6213333333333333,23,4.379299516908213,6.001722222222222,2.7010482217772696,3.701720120614035,1.370475392023298,0.37047539202329793
I-395 NB AM,GP,110P04121,0.6479266666666668,23,0.996300795680591,1.80785294117647,1.5120473239038075,2.743708740943206,1.8145653893024276,0.8145653893024276
I-395 NB AM,GP,110P04122,0.5860800000000002,23,1.0348195510088094,1.6898055555555556,1.8539457557999752,3.027395293020292,1.632947071697885,0.6329470716978851
